KIN　ID	分類１	分類２	分類３	分類４	よみ	英語名称	英語よみ　カタカナ	起始	停止	支配神経	作用		支配神経画像	作用動画																																												
K10000	頭部					HEAD																																																				
K10010		表情筋（顔面筋）				Muscles of the face																																																				
K10020			頭蓋表筋			epicranial musculature (epicranius) 																																																				
K10030				後頭前頭筋	こうとうぜんとうきん	occipitofrontalis	オクスィピト プロンタリス	前頭筋・鼻根、内眼角、眉間の皮膚。後頭筋・後頭骨の上項線、最上項線	帽状腱膜	側頭枝（顔面神経）	眉を引き上げ、額に横じわをつくる																																															
K10040				側頭頭頂筋	そくとうとうちょうきん	temporoparietalis 	テンポロパライエタリス	帽状腱膜中央部の側縁	耳介軟骨の内側面上部	後耳介神経（顔面神経）	耳介を上方に引く																																															
K10050			眼窩の周辺と眼瞼の筋			Orbital group																																																				
K10060				眼輪筋	がんりんきん	orbicularis oculi	オービキュラリス オキュリ	眼瞼部・内側眼瞼靱帯。眼窩部・前頭骨（鼻部）、上顎骨（前涙嚢稜）、内側眼瞼靱帯。涙嚢部・涙骨（後涙嚢稜）	眼瞼部・外側眼瞼靱帯。眼窩部・外側眼瞼靱帯あるいは眉の皮膚。涙嚢部・眼瞼部に加わる	顔面神経	眼を閉じる。涙の流入を助ける																																															
K10070				皺眉筋	すうびきん	corrugator supercilii	コルゲイタ スーパースィリアイ	前頭骨の鼻部	眉部中央部から内側部にかけての皮膚	側頭枝と頬骨枝（顔面神経）	眉を内側下方に引き下げ、眉に縦じわをつくる（眉をひそめる）																																															
K10080				眉毛下制筋	びもうかせいきん	depressor supercilii	ディプレッサ スーパースィリアイ	眼窩部（内側方）の一部	眉の内側端	側頭枝と頬骨枝（顔面神経）	眉を引き下げる																																															
K10090			鼻の周辺の筋			Nasal group																																																				
K10100				鼻根筋	びこんきん	procerus	プロスィーラス	鼻根部、鼻背筋膜	前頭（眉間部）の皮膚	顔面神経	眉間の皮膚を引き下げ、左右の眉の間（鼻根部）に横じわをつくる（嫌悪の表情）																																															
K10110				鼻筋	びきん	nasalis	ネイザリス	横部・上顎骨の前面。翼部・上顎犬歯の歯槽隆起	横部・鼻背の皮膚。翼部・鼻翼の外縁および下縁の皮膚	頬筋枝（顔面神経）	鼻孔を広げる（鼻翼部）、鼻背を圧迫して鼻孔を狭める（横部）																																															
K10120				鼻中隔下制筋	びちゅうかくかせいきん	depressor septi	ディプレッサ セプティ	鼻筋の内側部	鼻中隔周辺の皮膚	頬筋枝（顔面神経）	鼻中隔を引き下げて、鼻孔を広げる																																															
K10130			口唇と頬の周辺の筋			Oral group																																																				
K10140				上唇鼻翼挙筋	じょうしんびよくきょきん	levator labii superioris alaeque nasi	レヴェイタ レイビアイ スーピアリオーリス アリーク ネイズィ	上顎骨前頭突起	上唇の皮膚	頬筋枝（顔面神経）	上唇と鼻翼を引き上げる																																															
K10150				上唇挙筋	じょうしんきょきん	levator labii superioris	レヴェイタ レイビアイ スーピアリオーリス	上顎体の前面	上唇の皮膚	頬筋枝（顔面神経）	上唇と鼻翼を引き上げる																																															
K10160				小頬骨筋	しょうきょうこつきん	zygomaticus minor	ザイゴマティカス マイナ	頬骨外面	上唇の皮膚	頬筋枝（顔面神経）	上唇を上後方へ引く																																															
K10170				口角挙筋	こうかくきょきん	levator anguli oris	レヴェイタ アンギュリ オリス	上顎骨の犬歯窩	口角、下唇の皮膚	頬筋枝（顔面神経）	口角を上げる																																															
K10180				大頬骨筋	だいきょうこつきん	zygomaticus major	ザイゴマティカス メイジャ	頬骨（頬骨弓中央部）	口角、上唇下唇	頬筋枝（顔面神経）	上口角を上外側方に引く																																															
K10190				オトガイ筋	おとがいきん	mentalis	メンタリス	下顎骨内側	オトガイ部の皮膚	下顎縁枝（顔面神経）	オトガイ部の皮膚を引きあげて隆起をつくる																																															
K10200				下唇下制筋	かしんかせいきん	depressor labii inferioris	ディプレッサ レイビアイ インフィアリオーリス	下顎骨の前面	下唇の皮膚	頬筋枝と下顎縁枝（顔面神経）	下唇を外側下方に引く																																															
K10210				口角下制筋	こうかくかせいきん	depressor anguli oris	ディプレッサ アンギュリ オリス	下顎骨の下縁	口角、一部は口輪筋	頬筋枝（顔面神経）	口角および上唇を下方に引く																																															
K10211				オトガイ横筋	おとがいおうきん	transversus menti	トランスヴァーサス メンティ	口角下制筋の前縁部	口角下制筋の前縁部	頚枝（顔面神経）	オトガイ部の皮膚に皺をつくる 																																															
K10220				頬筋	きょうきん	buccinator	バッキネイタ	上顎骨の歯槽隆起外側面、下顎骨の頬筋稜および翼突下顎縫線	口角、口輪筋に加わる	頬筋枝（顔面神経）	口角を外後方に引く。口から空気を吹き出す（トランペットを吹く時等）																																															
K10230				口輪筋	こうりんきん	orbicularis oris	オービキュラリス オリス	上顎骨や下顎骨の歯槽隆起、鼻中隔、筋の線維束	口唇の皮膚	頬筋枝と下顎縁枝（顔面神経）	口を強く閉じ、唇を前方に突き出す（口笛を吹く時など）																																															
K10240				笑筋	しょうきん	risorius	リソウリアス	広頚筋の顔面部の上	口角の皮膚	頬筋枝（顔面神経）	口角を外側方に引き、えくぼをつくる																																															
K10250			耳介の周辺の筋			Muscles of the ear																																																				
K10260				前耳介筋	ぜんじかいきん	auricularis anterior	オーリキュラリス アンティリア	帽状腱膜	耳介軟骨の上部	顔面神経の枝	耳介を上方に引く																																															
K10270				上耳介筋	じょうじかいきん	auricularis superior	オーリキュラリス スーピリア	帽状腱膜	耳介軟骨の上部	顔面神経の枝	耳介を上方に引く																																															
K10280				後耳介筋	こうじかいきん	auricularis posterior	オーリキュラス ポスティリア	側頭骨の乳突部	耳介軟骨の内側面	後耳介神経（顔面神経）	耳介を後上方に引く（耳を動かす）																																															
K10290		咀嚼筋				Muslces of mastication																																																				
K10300			咬筋		こうきん	masseter	マサタ	頬骨（頬骨弓）	下顎骨（下顎角外面）	咬筋神経	下顎骨を挙上する（咀嚼運動を行う）			K10300_V_010																																												
K10310			側頭筋		そくとうきん	temporalis	テンポラリス	側頭骨の側頭面全部および側頭筋膜の内面	下顎骨筋突起、下顎枝	深側頭神経（三叉神経の第3枝、下顎神経）	下顎骨を挙上し、かつ後方に引く（咀嚼運動を行う）			K10300_V_010																																												
K10320			外側翼突筋		がいそくよくとつきん	lateral pterygoid	ラテラル テリゴイド	上頭・蝶形骨の側頭下稜、蝶形骨大翼の側頭下面。下頭・（翼状突起の）外側板外面、上顎結節	下顎骨の関節突起、顎関節の関節包、関節円板	外側翼突筋神経（三叉神経第3枝、下顎神経）	下顎骨を前方に引く。両側が働けば下顎骨を前方に引き（開口）、片側が働けば、対側に動いてすりつぶし運動を行う																																															
K10330			内側翼突筋		ないそくよくとつきん	medial pterygoid	メーディアル テリゴイド	蝶形骨の翼状突起後面の翼突窩	下顎骨内面の翼突筋粗面	内側翼突筋神経（三叉神経第3枝、下顎神経）	下顎骨を挙上し、かつ反対側に引く																																															
K10340	頚部					NECK																																																				
K10350		浅頚筋																																																								
K10360			広頚筋		こうけいきん	platysma	プラティズマ	下顎骨縁	第2(3)肋間の高さの皮膚（皮筋）	顔面神経の頚枝	頚部、鎖骨下方の皮膚を上に引き、筋膜を緊張させ、口角を下方に引く																																															
K10370		側頚筋																																																								
K10380			胸鎖乳突筋		きょうさにゅうとつきん	sternocleidomastoid	スターノクライドマストイド	胸骨頭・胸骨（胸骨柄）。鎖骨頭・鎖骨（内側1/3）	側頭骨（乳様突起）、後頭骨（上項線外側部）	"副神経、頚神経叢 (C2, C3)"	両側の筋が同時に作用すると頭は後屈する。片側のみの場合は頭は側屈し、反対側へ回旋する																																															
K10390		前頚筋																																																								
K10400			舌骨上筋群			Sprahyoid muscles																																																				
K10410				顎二腹筋	がくにふくきん	digastric	ダイガストリック	後腹・側頭骨の乳突切痕。前腹・下顎骨の二腹筋窩	2つの筋腹は中間の腱で結ばれる（中間腱は線維性滑車によって、舌骨体に固定される）	前腹・顎舌骨筋神経（三叉神経の第3枝、下顎神経）。後腹・顎二腹筋枝（顔面神経）	舌骨を引き上げる。舌骨を固定時は下顎骨を引き下げ、咀嚼を助ける																																															
K10420				茎突舌骨筋	けいとつぜっこつきん	stylohyoid	スタイロハイオイド	茎状突起の上外側部	舌骨体および大角	茎突舌骨筋枝（顔面神経）	舌骨を後上方に引く																																															
K10430				顎舌骨筋	がくぜっこつきん	mylohyoid	マイロハイオイド	下顎骨の顎舌骨筋線	舌骨体、顎舌骨筋縫線	顎舌骨筋神経（三叉神経の第3枝、下顎神経）	下顎骨を固定すると舌骨を挙上し、舌骨を固定すると下顎骨を引き下げる																																															
K10440				オトガイ舌骨筋	おとがいぜっこつきん	geniohyoid	ジニオハイロイド	下顎骨（オトガイ棘）	舌骨（舌骨体前面）	舌下神経に伴行する頚神経	舌骨を引き上げる。舌骨を固定すると下顎骨を引き下げる																																															
K10450			舌骨下筋群			Infrahyoid muscles																																																				
K10460				胸骨舌骨筋	きょうこつぜっこつきん	sternohyoid	スターノハイオイド	胸骨柄、胸鎖関節および第1肋軟骨の後面	舌骨体	"頚神経ワナの上根"	舌骨を下方に引く																																															
K10470				肩甲舌骨筋	けんこうぜっこつきん	omohyoid	オモハイオイド	下腹・肩甲骨上縁および烏口突起。上腹・下腹につづく中間腱	下腹・中間腱。上腹・舌骨体下縁の外側部	頚神経ワナ。中間腱により二腹に分かれる (C1-C3)	舌骨を下後方に引く。頚筋膜を張る																																															
K10480				胸骨甲状筋	きょうこつこうじょうきん	sternothyroid	スターノサイロイド	胸骨柄および第1、2肋軟骨の後面	甲状軟骨斜線、2-3の分束は甲状舌骨筋	"頚神経ワナの上根"	甲状軟骨を下方に引く																																															
K10490				甲状舌骨筋	こうじょうぜっこつきん	thyrohyoid	サイロハイオイド	甲状軟骨斜線	舌骨体および大角の後面	頚神経ワナの甲状舌骨筋枝	舌骨を引き下げる。舌骨を固定すると甲状軟骨を引き上げる																																															
K10500		後頚筋				Muslces of the posterior neck																																																				
K10510			斜角筋群			Scaleni (lateral vertebral muscles)																																																				
K10520				前斜角筋	ぜんしゃかくきん	scalenus anterior	スカリナス アンティリア	第3-6頚椎（横突起）	第1肋骨（前斜角筋結節）	頚神経叢、腕神経叢	肋骨を引き上げ胸郭を広げる。肋骨を固定すると頚を前に傾け、片側だけでは同側へ曲げる																																															
K10530				中斜角筋	ちゅうしゃかくきん	scalenus medius	スカリナス メーディアス	第2-7頚椎（横突起）	第1肋骨（鎖骨下動脈溝後方の隆起）	頚神経叢、腕神経叢	肋骨を引き上げ胸郭を広げる。肋骨を固定すると頚を前に傾け、片側だけでは同側へ曲げる																																															
K10540				後斜角筋	こうしゃかくきん	scalenus posterior	スカリナス ポスティリア	第5、6頚椎（横突起）	第2肋骨（外側面）	頚神経叢、腕神経叢	肋骨を引き上げ胸郭を広げる。肋骨を固定すると頚を前に傾け、片側だけでは同側へ曲げる																																															
K10550			椎前筋群			Anterior vertebral muscles																																																				
K10560				頚長筋	けいちょうきん	longus colli	ロンガス コリ																																																			
K10570				頭長筋	とうちょうきん	longus capitis	ロンガス キャピィティス	第3-6頚椎横突起の前結節	後頭骨底部下面の咽頭結節の前方	頚神経前枝	両側が働くと頚椎を前方に曲げ、片側が働くと頚椎を同側に曲げる																																															
K10580				前頭直筋	ぜんとうちょくきん	rectus capitis anterior	レクタス キャピィティス アンティリア	環椎外側塊の前部	後頭骨の大後頭孔の前方	頚神経前枝	両側が働くと頚椎を前方に曲げ、片側が働くと頚椎を同側に曲げる																																															
K10590				外側頭直筋	がいそくとうちょくきん	rectus capitis lateralis	レクタス キャピィティス ラテラリス	環椎横突起の前部	後頭骨の下面	頚神経前枝	頭を同側に曲げる																																															
K10600	胸部					THORAX																																																				
K10610		浅胸筋				Muscles of the pectoral region																																																				
K10620			大胸筋		だいきょうきん	pectoralis major	ペクトラリス メイジャ	鎖骨部・鎖骨（内側）。胸肋部・胸骨、第2-7肋軟骨（前面）。腹部・腹直筋鞘前葉	上腕骨（大結節稜）	内側胸筋神経、外側胸筋神経	上腕骨の内転、回旋。肩関節屈曲。上腕を固定すると、胸骨および肋骨を上げて吸息を助ける		K10620_C_000	S22700_V_010																																												
K10630			小胸筋		しょうきょうきん	pectoralis minor	ペクトラリス マイナ	第3-5肋骨（前面）	肩甲骨（烏口突起）	内側胸筋神経、外側胸筋神経	肩甲骨の外転（肩甲骨は下方に傾きながら胸壁の回りを前方に移動する）。肩甲骨を固定すると肋骨を引き上げ胸部を広げる		K10620_C_000	S21300_V_010																																												
K10640			鎖骨下筋		さこつかきん	subclavius	サブクレイヴィアス	第1肋骨と肋軟骨の連結する辺りの上前面	鎖骨（下面）	鎖骨下筋神経	鎖骨を前下方に引く		K10640_C_000																																													
K10650			前鋸筋		ぜんきょきん	serratus anterior	セレイタス アンティリア	第1-8肋骨（外側面）、第1-2肋骨間に張る腱弓	肩甲骨（上角、内側縁、下角）	長胸神経	肩甲骨の外転、上方回旋。肩甲骨を固定すると胸骨を外側上方に引く		K10650_C_000	S21300_V_010																																												
K10660		深胸筋				Muscles of the thoracis wall																																																				
K10670			外肋間筋		がいろっかんきん	external intercostal	イクスターナル インターコスタル	上位肋骨（下縁）	下位肋骨（上縁）	肋間神経	肋骨を引き上げ、胸郭を広げる（吸息）																																															
